baseline,lr,eval_accuracy_mean,eval_accuracy_std
10_total,0.02,0.14632,0.03409272063065663
10_total,0.05,0.29348,0.0677706249048952
10_total,0.1,0.47219999999999995,0.06928803648538469
10_total,0.2,0.36156,0.1337249355954229
10_total,0.3,0.18824000000000002,0.07732253487826171
100_total,0.02,0.165,0.04582296367543243
100_total,0.05,0.24671999999999997,0.07426025585735616
100_total,0.1,0.34588,0.09855975649320568
100_total,0.2,0.46939999999999993,0.07983653299085575
100_total,0.3,0.26071999999999995,0.16162814606373482
