series_source,distill_steps,par,k,best_epoch,val_ppl,test_ppl
results_seq128_nl2_do01_distil100_e15,100,topk,64,9,70.115,66.955
results_seq128_nl2_do01_distil100_e15,100,topk,128,10,69.561,66.409
results_seq128_nl2_do01_distil100_e15,100,topk,256,9,69.72,66.578
results_seq128_nl2_do01_distil100_e15,100,gumbel,64,10,71.242,67.805
results_seq128_nl2_do01_distil100_e15,100,gumbel,128,10,71.24,67.804
results_seq128_nl2_do01_distil100_e15,100,gumbel,256,10,71.237,67.803
results_seq128_nl2_do01_distil200_e15,200,topk,64,9,70.115,66.955
results_seq128_nl2_do01_distil200_e15,200,topk,128,10,69.56,66.408
results_seq128_nl2_do01_distil200_e15,200,topk,256,9,69.72,66.578
results_seq128_nl2_do01_distil200_e15,200,gumbel,64,10,71.242,67.805
results_seq128_nl2_do01_distil200_e15,200,gumbel,128,10,71.24,67.804
results_seq128_nl2_do01_distil200_e15,200,gumbel,256,10,71.237,67.803
results_seq128_nl2_do01_distil300_e15,300,topk,64,9,70.115,66.955
results_seq128_nl2_do01_distil300_e15,300,topk,128,10,69.56,66.408
results_seq128_nl2_do01_distil300_e15,300,topk,256,9,69.713,66.572
results_seq128_nl2_do01_distil300_e15,300,gumbel,64,10,71.242,67.805
results_seq128_nl2_do01_distil300_e15,300,gumbel,128,10,71.24,67.804
results_seq128_nl2_do01_distil300_e15,300,gumbel,256,10,71.237,67.803
results_seq128_nl2_do01_distil400_e15,400,topk,64,9,70.115,66.955
results_seq128_nl2_do01_distil400_e15,400,topk,128,10,69.56,66.408
results_seq128_nl2_do01_distil400_e15,400,topk,256,9,69.713,66.572
results_seq128_nl2_do01_distil400_e15,400,gumbel,64,10,71.237,67.801
results_seq128_nl2_do01_distil400_e15,400,gumbel,128,10,71.232,67.797
results_seq128_nl2_do01_distil400_e15,400,gumbel,256,10,71.22,67.788
results_seq128_nl2_do01_distil500_e15,500,topk,64,9,70.115,66.955
results_seq128_nl2_do01_distil500_e15,500,topk,128,10,69.56,66.408
results_seq128_nl2_do01_distil500_e15,500,topk,256,9,69.713,66.572
results_seq128_nl2_do01_distil500_e15,500,gumbel,64,10,71.237,67.801
results_seq128_nl2_do01_distil500_e15,500,gumbel,128,10,71.232,67.797
results_seq128_nl2_do01_distil500_e15,500,gumbel,256,10,71.22,67.788
results_seq128_nl2_do01_distil600_e15,600,topk,64,9,70.115,66.955
results_seq128_nl2_do01_distil600_e15,600,topk,128,10,69.56,66.408
results_seq128_nl2_do01_distil600_e15,600,topk,256,9,69.713,66.572
results_seq128_nl2_do01_distil600_e15,600,gumbel,64,10,71.237,67.801
results_seq128_nl2_do01_distil600_e15,600,gumbel,128,10,71.232,67.797
results_seq128_nl2_do01_distil600_e15,600,gumbel,256,10,71.22,67.788
