parameterization,k,entropy_weight,num_sequences,init_confidence,synthetic_parameters,distill_run,eval_run,distill_best_step,distill_best_inner_loss,distill_best_entropy,distill_final_inner_loss,distill_final_entropy,best_epoch,val_perplexity,test_perplexity,final_epoch,final_val_perplexity,final_test_perplexity,series_source,distill_steps,train_ppl
topk,4,0.0,256,12.5,262144,tm_topk_k4_n256_conf125,eval_tm_topk_k4_n256_conf125,14,0.9985081553459167,0.0001509424182586372,0.9996920824050903,0.00015094189438968897,10,61.86844337355682,59.498592825855965,15,67.17882545246091,64.41038944395389,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,30.372011488714733
topk,8,0.0,256,12.5,524288,tm_topk_k8_n256_conf125,eval_tm_topk_k8_n256_conf125,162,0.9985501170158386,0.00035219371784478426,0.9996795058250427,0.0003521906619425863,9,61.000549202169196,58.953530000292666,15,65.96057091421392,63.68998676516585,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,34.006629460742715
topk,16,0.0,256,12.5,1048576,tm_topk_k16_n256_conf125,eval_tm_topk_k16_n256_conf125,87,0.9985138773918152,0.0007546229171566665,0.9995715618133545,0.000754637410864234,10,60.737832150596674,58.17206165073663,15,66.7202536853271,63.72351217114861,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,29.989923952333854
topk,32,0.0,256,12.5,2097152,tm_topk_k32_n256_conf125,eval_tm_topk_k32_n256_conf125,339,0.9985740184783936,0.0015595599543303251,0.9998137354850769,0.0015595081495121121,10,61.22958457207509,58.73856453102794,15,65.62784869818343,62.76749616222687,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,30.61424350043372
topk,64,0.0,256,12.5,4194304,tm_topk_k64_n256_conf125,eval_tm_topk_k64_n256_conf125,262,0.9985309839248657,0.003168924944475293,0.9997661113739014,0.003168836934491992,11,62.08774016375938,58.799450700152335,15,66.85198330448908,63.227934227358666,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,27.66812108783346
topk,128,0.0,256,12.5,8388608,tm_topk_k128_n256_conf125,eval_tm_topk_k128_n256_conf125,10,0.9985828995704651,0.006387360394001007,0.9997109770774841,0.006384942214936018,10,61.5298566658654,58.761734701270164,15,66.74630904301696,63.502371152096465,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,29.588524090715683
topk,256,0.0,256,12.5,16777216,tm_topk_k256_n256_conf125,eval_tm_topk_k256_n256_conf125,175,0.9984925389289856,0.012813499197363853,0.9998136162757874,0.012809143401682377,10,61.15999308414183,58.43254839020472,15,66.43683036099033,63.36822700489778,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,30.016139828556376
topk_gumbel,4,0.0,256,12.5,67108864,tm_gumbel_k4_n256_conf125,eval_tm_gumbel_k4_n256_conf125,212,0.998559296131134,0.000150644889799878,0.9996711015701294,0.00015046320913825184,10,60.99430323603204,58.357043934550475,15,65.96472625818649,62.99012328157248,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,29.797329740883793
topk_gumbel,8,0.0,256,12.5,67108864,tm_gumbel_k8_n256_conf125,eval_tm_gumbel_k8_n256_conf125,212,0.9985593557357788,0.00035156961530447006,0.9996711015701294,0.0003511911490932107,10,60.99440002289043,58.35715992701938,15,65.96479718232494,62.99024454961183,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,29.79960806798935
topk_gumbel,16,0.0,256,12.5,67108864,tm_gumbel_k16_n256_conf125,eval_tm_gumbel_k16_n256_conf125,212,0.9985593557357788,0.0007531460141763091,0.9996711015701294,0.0007522741798311472,10,60.994574667563896,58.35738396208569,15,65.96489609927795,62.990476359175844,results_seq256_nl4_do00_fixed15k_expertadam_distil400_e15_k4_8_16_32_64_128_256,400,29.804158916159903
